t,e_h,sigma_h,e_along,sigma_along,e_cross,sigma_cross
60.0,37.38334174878182,102.49680927597663,7.739838594369553,74.0183592205263,-36.573339180874925,70.90048243881742
61.0,36.28969705895558,98.06117326786625,6.744219665279142,70.80923300634115,-35.65750431167655,67.83838311549127
62.0,35.061222401131985,93.55605095749375,7.245185591786148,67.54153758472117,-34.30446912578904,64.7369706694163
63.0,33.88602625942231,89.04942827237622,6.2574248025807675,64.26252589920999,-33.30326426184534,61.645181812453444
64.0,31.72780615977476,84.57925348012333,5.344938338739496,61.006463169504634,-31.274355594757086,58.58209257787593
65.0,31.069599650874594,80.06515778147511,4.8303642524914885,57.7429707443332,-30.691816558390265,55.46331057727788
66.0,30.2429274452021,75.63859786557006,4.586002026372995,54.55339503869235,-29.893197317614945,52.39393645090809
67.0,30.407714549387308,71.22038375197033,2.923072593691323,51.3768748613586,-30.266891989912526,49.32301482328728
68.0,28.784817457058136,66.81871240602942,1.8985895050560115,48.222089800968014,-28.72213560875044,46.253328343234344
69.0,27.330181114874392,62.4437851667314,1.4813734131002576,45.10333689506637,-27.290004261318767,43.18466518197229
70.0,25.34093848214921,58.04920722397688,-0.18242886198003452,41.97588769494068,-25.340281822947183,40.09657481074832
71.0,23.80896675419172,53.75441476252955,-0.7876301777340027,38.91769026221263,-23.79593529587205,37.080324851820464
72.0,23.232488975279868,49.533062411948656,-1.3306074434328914,35.919619193309316,-23.194353360634597,34.10726064804452
73.0,22.887879289552465,45.40659915851169,-3.1849865157347392,32.984811428995854,-22.66519091619818,31.205151211544212
74.0,20.966097506791844,41.344232876424584,-3.4982372624151297,30.09299647254091,-20.672193418216498,28.350611200530892
75.0,19.9967279292938,37.42210526199264,-3.7201781150996505,27.29478802566572,-19.64763096839241,25.600947421406747
76.0,16.660484442137246,33.63586066965858,-3.4886315010096824,24.594641379083264,-16.29113845306276,22.945037337580658
77.0,14.737901326969686,29.977839725615727,-4.209466835522879,21.990131477627575,-14.123955695347103,20.374125556974395
78.0,13.334141428840546,26.416931803811497,-4.958152186214009,19.44386494908526,-12.37804728310015,17.882684411714056
79.0,13.001069068599547,23.044964412046475,-5.337235538521075,17.023268954651936,-11.85502904816532,15.533148388207465
80.0,11.407890159895949,19.83943069042777,-4.323645144525069,14.71300691608714,-10.556801152076115,13.30903593831872
81.0,10.670684056910083,16.769931321193276,-4.330168850212509,12.481392042022838,-9.752596370764264,11.20024326570045
82.0,9.118670670753504,13.933510718762626,-4.414766574922319,10.410351682176652,-7.978721131272156,9.261063589203712
83.0,7.785149617607524,11.27763013420414,-3.9336299663887,8.451121076192871,-6.7182668788954345,7.467495831899603
84.0,6.338292527175209,8.881380656458296,-3.1611435805139525,6.662872826586001,-5.493734924750241,5.872397130785134
85.0,4.366537046617056,6.676590382482806,-2.047821003890685,4.985863053046946,-3.856562577672421,4.4404987052946305
86.0,3.3778410516416044,4.718774490989487,-1.845665862214821,3.460722309581979,-2.829015322547773,3.2078394275235573
87.0,2.313078925094038,3.1270388815883408,-1.0808146562737193,2.2083395246172075,-2.0450363792603077,2.2139577030690325
88.0,1.1060238749105156,1.989901535449577,0.09611026839994172,1.3228877596599977,-1.1018401100795718,1.486497930078053
89.0,0.8166477326736183,1.3989019443663486,0.7318031348202123,0.8660557143443335,-0.3624606063398774,1.0985782400919275
90.0,0.9507139821052669,1.2055594983601583,0.8790501261574044,0.7409420480572563,0.362115936508054,0.9509882152304073
91.0,5.947543842559714,1.154024505739779,-3.3111611803066117,0.7169572386181994,-4.940596056874161,0.9042924736173068
