t,e_h,sigma_h,e_along,sigma_along,e_cross,sigma_cross
47.71,158.56777922688596,232.72408886658215,-128.83532356043492,177.7603335359662,92.4402510383031,150.2057434320102
48.74,198.18519519307574,226.01874680219677,-177.65150999824755,171.70081920015963,87.84823611809223,146.98061978379877
49.77,189.12199056666003,220.36756678666492,-169.02319752596966,167.28184649618947,84.84271338183908,143.45259957317094
50.8,156.44669949725346,215.10320683184972,-123.20303400028662,163.845997402719,96.41878549695672,139.3695760359976
51.83,185.39808680549856,209.0442030239499,-155.13415074162938,158.4979162654702,101.5177120743597,136.3007313165354
52.86,166.5792434957251,203.15116874609424,-134.38862061599997,154.08350311641544,98.42938083995499,132.395889023329
53.9,209.50333217360378,196.28008338723345,-192.83419785978268,147.6482865654959,81.89394561026815,129.32847562997298
54.93000000000001,163.98941289827454,191.43854688970734,-122.80753086384156,144.81341003828092,108.67767896788824,125.21099595613555
55.959999999999994,158.70333473720575,184.9213875652102,-118.54153406072241,139.58145437069066,105.52086598981343,121.29689680616517
56.980000000000004,171.18315353852014,178.72016620011942,-136.65459741045026,134.26974104109655,103.09797797231683,117.95140714444732
58.010000000000005,153.44106925617046,172.42576451833517,-112.48435224849267,129.59998641910153,104.36202486399891,113.7298896064754
59.040000000000006,181.31405257216056,165.93149527000782,-161.46886833256767,123.57026285233586,82.4778165299017,110.74137104598826
60.06999999999999,156.8927884074504,160.18227004593808,-115.14418129904843,119.7527069171437,106.56999843875795,106.38443882018888
61.11,143.9671127325617,154.56126255031774,-97.27093530825884,115.54049294460347,106.13620820816358,102.66244869116599
62.129999999999995,131.12215286097307,149.35611130135126,-94.62762608453919,111.33289289725704,90.76690670338519,99.56020762427889
63.16,120.8179398035953,143.20480295322486,-79.89989950546035,106.69890904082068,90.62549661879108,95.51417904358826
64.19,123.34597363085169,137.37637783808927,-105.06013638923062,101.50842602502524,64.62659632704654,92.56515885491389
65.22,67.19985131230213,132.21456843650125,-44.18748826639364,98.16788299549438,50.62890377149044,88.56499791132612
66.25,96.17390959756155,124.94171066447737,-65.98895069402806,92.46485925634157,69.96341382166163,84.02785768107456
67.28,62.69691485574819,120.33032971505199,-40.93599409066052,88.86018237129706,47.48839353187624,81.13726787532934
68.31,82.72413693638195,113.502271848253,-67.58466672226389,83.42553170890723,47.70320383275937,76.96068069995769
69.35,66.87933316269705,108.90503457258144,-43.63309565673585,80.05118370791303,50.6852855146064,73.83843539930353
70.38,60.633769460897724,102.202134559928,-56.3987668391127,74.93752735463755,22.2628187358361,69.49563513328428
71.41,59.7831973808802,96.13558422950123,-24.54070532280219,70.69901475691123,54.514075901006244,65.14368632146613
72.44,43.33801675216748,90.84615514471156,-40.866109958418505,66.45406743491975,14.427222632149187,61.94256069886149
73.47,62.73481233168209,85.99160448267348,-38.512678333231264,62.7758221397722,49.522018192844584,58.76863275745179
74.5,35.12844686099294,81.95646178530627,-34.116139553013745,59.601232719825376,8.372383224918407,56.25437482226237
75.53,53.950982787108295,76.13029099301676,-39.95457544722739,55.2054133931849,36.253833514908045,52.42312026929501
76.56,11.947421526848053,70.63782090861457,-8.958961307337047,51.198577054825684,7.904295884759753,48.66628658813599
77.59,47.529935657340495,65.70110590639952,-40.76836106041378,47.21829042258663,24.434310304133096,45.68444337947206
78.62,13.311761132864506,61.50813950180919,-6.986372981381306,44.210907771064846,11.331088960177985,42.762680681084746
79.66,26.54444913003559,55.50809575514305,-25.28946329139842,39.707143255582906,8.065409230166757,38.78777473435086
80.69,21.698172118458835,50.041539861524925,2.778681886142564,35.92584774745284,21.519516729189984,34.83517152734324
81.71,28.611230033542377,47.09841938639238,-28.59495810118252,33.5781037049733,-0.9648083871389571,33.02683848439871
82.74,16.996769031009784,45.84073784413356,-12.940143598206186,32.652723974837976,11.020110759484078,32.1741023669289
83.77,16.25462671143521,40.3746170788222,-16.006155068632093,28.75403726628825,-2.8312346153235457,28.342812936447007
84.8,19.350191152616613,31.997862392719497,3.3248523353903057,22.885746067422033,19.062404218530567,22.36304596071138
85.83,2.771214459812846,27.038126535293117,-2.624457332652925,19.245553399709458,0.8898613888466557,18.991286446090314
86.86,8.76894749939164,22.352325860241404,-3.980946043093045,15.907487949432683,7.813226532558026,15.702811802383374
87.89,4.183651834694349,16.755054606550335,2.7299841719973528,11.88880848112526,-3.170193857571699,11.806273237885344
88.92,2.0189858622341084,10.86462669608546,-1.5575560508897814,7.692544403085309,1.2846490027388162,7.672344742766305
89.95,1.423639396135493,5.688766275166607,0.8650394021029115,4.01491109981987,-1.1306882696121283,4.03020478313648
90.67,0.34173901286192615,2.591256149804356,-0.31810353758946147,1.8313011569767113,-0.12488271411574063,1.8332878951093998
